,Time,Median Sale Price,In Time,OOT Time
1,2010-Mar,237000.0,263434.7909368973,263434.7909368973
2,2010-Apr,260000.0,250993.8716059008,250993.8716059008
3,2010-May,250000.0,263059.51590977976,263059.51590977976
4,2010-Jun,240000.0,265156.2929461796,265156.2929461796
5,2010-Jul,240000.0,261445.08918378607,261445.08918378607
6,2010-Aug,248000.0,252935.81718429964,252935.81718429964
7,2010-Sep,230000.0,265428.98837643757,265428.98837643757
8,2010-Oct,230000.0,267796.74284464656,267796.74284464656
9,2010-Nov,243000.0,264214.72374858375,264214.72374858375
10,2010-Dec,225000.0,274568.78714925225,274568.78714925225
11,2011-Jan,220000.0,277168.017958762,277168.017958762
12,2011-Feb,213000.0,274211.89028195105,274211.89028195105
13,2011-Mar,231000.0,258069.45302430133,258069.45302430133
14,2011-Apr,240000.0,257693.3989991417,257693.3989991417
15,2011-May,250000.0,255308.70726979428,255308.70726979428
16,2011-Jun,243000.0,262847.339901915,262847.339901915
17,2011-Jul,245000.0,261641.08189444325,261641.08189444325
18,2011-Aug,241000.0,264967.4742294753,264967.4742294753
19,2011-Sep,235000.0,268308.5475245856,268308.5475245856
20,2011-Oct,230000.0,275087.23191508785,275087.23191508785
21,2011-Nov,229000.0,272792.090534906,272792.090534906
22,2011-Dec,225000.0,272638.2913331277,272638.2913331277
23,2012-Jan,215000.0,272752.1210584493,272752.1210584493
24,2012-Feb,236000.0,256137.66390580495,256137.66390580495
25,2012-Mar,255000.0,242381.65901221122,242381.65901221122
26,2012-Apr,252000.0,257205.85451322142,257205.85451322142
27,2012-May,263000.0,251346.8463125339,251346.8463125339
28,2012-Jun,275000.0,242924.4511161111,242924.4511161111
29,2012-Jul,275000.0,245560.86546459398,245560.86546459398
30,2012-Aug,270000.0,246871.73380580134,246871.73380580134
31,2012-Sep,259000.0,247953.1082737664,247953.1082737664
32,2012-Oct,265000.0,255694.02734068144,255694.02734068144
33,2012-Nov,262000.0,255607.78377507286,255607.78377507286
34,2012-Dec,260000.0,258399.54842563273,258399.54842563273
35,2013-Jan,257000.0,258360.43450479177,258360.43450479177
36,2013-Feb,261000.0,260328.0766153416,260328.0766153416
37,2013-Mar,268000.0,261074.95696365827,261074.95696365827
38,2013-Apr,284000.0,246833.19720076694,246833.19720076694
39,2013-May,287000.0,251771.29031455805,251771.29031455805
40,2013-Jun,299000.0,246062.37715693004,246062.37715693004
41,2013-Jul,280000.0,254762.57933019404,254762.57933019404
42,2013-Aug,289000.0,250323.2748902538,250323.2748902538
43,2013-Sep,290000.0,247675.4323655319,247675.4323655319
44,2013-Oct,289000.0,254510.5764484396,254510.5764484396
45,2013-Nov,280000.0,254131.89386081547,254131.89386081547
46,2013-Dec,285000.0,244331.90585071413,244331.90585071413
47,2014-Jan,270000.0,248331.8229051386,248331.8229051386
48,2014-Feb,287000.0,241860.55821664535,241860.55821664535
49,2014-Mar,288000.0,250049.18592266136,250049.18592266136
50,2014-Apr,290000.0,241302.313090349,241302.313090349
51,2014-May,297000.0,238952.2303144466,238952.2303144466
52,2014-Jun,298000.0,241387.67316384744,241387.67316384744
53,2014-Jul,285000.0,252193.89868967052,252193.89868967052
54,2014-Aug,298000.0,234761.84424696342,234761.84424696342
55,2014-Sep,280000.0,241925.21682680055,241925.21682680055
56,2014-Oct,300000.0,228059.87413678967,228059.87413678967
57,2014-Nov,299000.0,229015.3176725267,229015.3176725267
58,2014-Dec,290000.0,225732.43993987914,225732.43993987914
59,2015-Jan,285000.0,226181.61584693549,226181.61584693549
60,2015-Feb,280000.0,236438.12259215084,236438.12259215084
61,2015-Mar,290000.0,234632.44643241508,234632.44643241508
62,2015-Apr,291000.0,236425.37510883043,236425.37510883043
63,2015-May,295000.0,237941.98824493441,237941.98824493441
64,2015-Jun,310000.0,224261.69845202018,224261.69845202018
