DATE,SMU11479009091000001SA
2010-01-01,373.37784006851405
2010-02-01,373.44429119566297
2010-03-01,373.911091929738
2010-04-01,375.43832454283205
2010-05-01,384.432208903521
2010-06-01,383.827749036246
2010-07-01,383.25106357188497
2010-08-01,383.165840856457
2010-09-01,381.67678933174005
2010-10-01,383.824334019175
2010-11-01,384.323888017012
2010-12-01,384.229655960356
2011-01-01,384.85500865675203
2011-02-01,384.78221599195
2011-03-01,384.61823318485295
2011-04-01,383.675098451502
2011-05-01,383.817391321073
2011-06-01,383.48007645372803
2011-07-01,382.805324860379
2011-08-01,383.35633578119
2011-09-01,385.767075533526
2011-10-01,380.433744331244
2011-11-01,377.56032953524806
2011-12-01,378.503848930334
2012-01-01,379.556173753948
2012-02-01,378.17935593588305
2012-03-01,378.307852763474
2012-04-01,378.197759938417
2012-05-01,377.419181353103
2012-06-01,377.848611181766
2012-07-01,378.638451812687
2012-08-01,378.67924289182406
2012-09-01,378.76369466141097
2012-10-01,379.082004842692
2012-11-01,378.42254810736
2012-12-01,378.32275577067804
2013-01-01,377.91112860524004
2013-02-01,377.54192381971296
2013-03-01,377.113006754708
2013-04-01,375.93929990043296
2013-05-01,375.219666878007
2013-06-01,373.412761173433
2013-07-01,371.149259253871
2013-08-01,371.31096065006204
2013-09-01,371.228855472155
2013-10-01,370.281692972272
2013-11-01,370.052040362076
2013-12-01,369.87575020998594
2014-01-01,362.738671824451
2014-02-01,362.286668383725
2014-03-01,362.186901579699
2014-04-01,361.695009756196
2014-05-01,361.855471235119
2014-06-01,360.987731937621
2014-07-01,362.183667696222
2014-08-01,363.06420039344704
2014-09-01,363.319193902167
2014-10-01,363.838034794889
2014-11-01,364.158399473897
2014-12-01,363.963133618674
2015-01-01,363.57227850051004
2015-02-01,363.86220761188304
2015-03-01,363.848115192605
2015-04-01,364.713523307875
2015-05-01,364.488312364466
2015-06-01,363.772070050791
2015-07-01,364.848315067708
2015-08-01,365.05066616154505
2015-09-01,365.148698429255
2015-10-01,364.87689435952797
2015-11-01,365.15062350269096
2015-12-01,365.721437060603
2016-01-01,366.18398053091903
2016-02-01,366.428151586052
2016-03-01,366.560271743104
2016-04-01,366.62822829126
2016-05-01,367.46179895676005
2016-06-01,368.014958219247
2016-07-01,368.372028412285
2016-08-01,368.798675834333
2016-09-01,369.094418357363
2016-10-01,369.303429981784
2016-11-01,369.77242471394203
2016-12-01,370.38772869091105
2017-01-01,371.20495295748594
2017-02-01,370.089747040728
2017-03-01,369.819028002146
2017-04-01,368.017423831657
2017-05-01,369.21810049371805
2017-06-01,368.251993090472
2017-07-01,366.98317812363996
2017-08-01,366.949948756387
2017-09-01,366.847306630322
2017-10-01,366.82269381107596
2017-11-01,366.187585745686
2017-12-01,365.64094080052297
2018-01-01,365.21633120405096
2018-02-01,364.43252625896895
2018-03-01,364.36783404159104
2018-04-01,364.38096367913903
2018-05-01,364.094410105401
2018-06-01,364.06562339677805
2018-07-01,364.06140641040804
2018-08-01,363.56894244505304
2018-09-01,363.315110908629
2018-10-01,363.70726670770205
2018-11-01,362.87009847517896
2018-12-01,362.514116976314
2019-01-01,362.701433955034
2019-02-01,363.33546108264295
2019-03-01,363.109885253831
2019-04-01,363.349948577698
2019-05-01,363.179474817378
2019-06-01,363.193444330745
2019-07-01,363.39172936773497
2019-08-01,364.34284835681296
2019-09-01,363.321498617582
2019-10-01,363.261554518078
2019-11-01,363.56017730134005
