DATE,WDXRSA,US_UR,DMV_UR,DC_UR,FED_EM,FIN_EM,HOS_EM,DC_PER,DMV_PER,DMV_PER_1
2010-02-01,180.451676684066,9.8,6.9,9.7,373.4442911956629,96.6460814397718,254.22722196069,60.0,1447.6513017225,821.847523904769
2010-03-01,179.886192678118,9.9,6.7,9.5,373.911091929738,96.9160944831904,258.398700610235,27.0,1194.39316327242,732.449500530528
2010-04-01,181.98294011539002,9.9,6.1,9.4,375.43832454283205,96.709392634762,262.204679238931,166.0,1240.54368000575,792.792527081704
2010-05-01,182.98398484574003,9.6,6.3,9.3,384.432208903521,96.95428726137258,259.99540379312697,15.0,1068.78455717121,646.662504917799
2010-06-01,183.939947086236,9.4,6.5,9.3,383.827749036246,97.1973887285914,261.04322866981096,8.0,1167.18530733857,768.646617222382
2010-07-01,183.739964376463,9.4,6.4,9.2,383.2510635718849,97.32198401947642,260.842832075103,140.0,1245.5030661479,775.213682025562
2010-08-01,182.812230616968,9.5,6.3,9.2,383.165840856457,97.3313931139709,261.494020747784,10.0,1058.38129588818,762.238755649518
2010-09-01,182.72641871556198,9.5,6.2,9.3,381.67678933174005,97.30909124121179,263.20390814447603,2.0,1015.7872602237101,734.56821409293
2010-10-01,183.03816534074198,9.4,6.0,9.3,383.824334019175,97.4617276400552,264.379884513052,30.0,1333.7332546374698,1166.0000150516198
2010-11-01,183.474828134892,9.8,6.1,9.4,384.323888017012,97.586041844713,265.23504481500197,1.0,788.9636173863312,614.970433611124
2010-12-01,184.14803115699402,9.3,5.9,9.5,384.229655960356,97.4202918228163,266.397773063376,11.0,1066.53137342889,678.63799300351
2011-01-01,184.31300304173698,9.1,6.4,9.6,384.85500865675203,96.97737573301649,265.921518924219,8.0,1004.86447083638,611.29667239372
2011-02-01,184.123846638303,9.0,6.3,9.8,384.78221599195,97.1402849762237,266.605317284568,3.0,1083.78621371362,657.580684674082
2011-03-01,182.038169481348,9.0,6.1,10.1,384.6182331848529,97.11648029750809,268.242950470062,248.0,972.1779031753888,672.464400826129
2011-04-01,180.74096763293,9.1,5.8,10.3,383.675098451502,97.5107616669233,270.306451386745,25.0,1006.3316559266701,750.224422986424
2011-05-01,180.580284109766,9.0,6.1,10.4,383.817391321073,97.2168644365319,268.137658708216,5.0,825.782928262343,606.830620396118
2011-06-01,180.61601957751301,9.1,6.5,10.5,383.48007645372803,96.81844481581899,268.655980030409,5.0,867.831399698172,761.1369157729131
2011-07-01,181.668877895622,9.0,6.3,10.5,382.805324860379,96.747215942289,269.395378661902,25.0,865.4987820665028,835.17016753481
2011-08-01,181.80431920605,9.0,6.4,10.4,383.35633578118996,96.4564034354204,271.613794358022,18.0,883.107289286553,673.547731004305
2011-09-01,182.93208433702202,9.0,6.3,10.3,385.767075533526,96.5378803425396,272.071071294295,120.0,926.9802893835921,855.020635152081
2011-10-01,181.27357852781898,8.8,6.0,10.1,380.433744331244,96.5477903969253,273.36997694433603,396.0,1209.16094068008,877.934068147677
2011-11-01,181.146344336892,8.6,5.8,10.0,377.56032953524806,96.3357636948679,274.962156174375,1.0,960.091822595838,806.97335054938
2011-12-01,179.79433006807704,8.5,5.8,9.9,378.503848930334,96.39901679976299,275.34362990473596,24.0,964.142909976845,931.2281917234039
2012-01-01,180.07674270545502,8.3,6.2,9.8,379.556173753948,96.44109083274469,276.56959690510604,20.0,1081.43882954484,825.82312722099
2012-02-01,178.56163978959202,8.3,6.2,9.6,378.1793559358831,96.595404884122,278.262052755566,5.0,589.060517474293,536.471861238643
2012-03-01,180.33719455383,8.2,5.9,9.4,378.307852763474,96.5071680941836,280.260234401292,274.0,1792.5849557878698,912.020471847117
2012-04-01,182.792719940913,8.2,5.4,9.3,378.197759938417,96.6223926973131,279.953109358194,23.0,1174.7676986875501,915.4007367242019
2012-05-01,185.444978419315,8.2,5.7,9.1,377.419181353103,96.48644348720521,280.584734902318,8.0,807.6224871903938,736.9913572354269
2012-06-01,186.952847514085,8.2,6.1,8.9,377.848611181766,96.5480601182624,281.443894262641,0.0,1002.58373015573,725.883432292527
2012-07-01,187.70789730337398,8.2,6.0,8.8,378.638451812687,96.3561790336566,281.960067134151,101.0,1089.0327793271401,719.7835970567619
2012-08-01,188.33834340868302,8.1,5.9,8.8,378.67924289182406,96.65583862541901,283.358522270553,117.0,1241.63812120616,802.370790001346
2012-09-01,188.734244936917,7.8,5.6,8.7,378.7636946614109,97.049141610675,283.89282725598304,17.0,831.934883458916,787.607060695821
2012-10-01,188.93353985071602,7.8,5.5,8.7,379.082004842692,97.24552588078559,284.54884574882703,11.0,563.007063844027,628.091124362984
2012-11-01,189.28135982797002,7.7,5.4,8.7,378.42254810736,97.4228827722093,285.227539940686,45.0,887.962012632724,798.787597400226
2012-12-01,190.40130638680301,7.9,5.5,8.7,378.3227557706781,97.5987106725027,286.47204773267003,83.0,651.452295400184,655.751600115678
2013-01-01,190.891609517995,8.0,6.0,8.7,377.91112860524004,97.8993840929693,289.34904934963697,472.0,1640.5763252203,749.689905852641
2013-02-01,190.64198447252102,7.7,5.8,8.7,377.5419238197129,98.23139371625679,289.831902148969,81.0,1229.9238641329598,747.241747494124
2013-03-01,193.65467833541598,7.5,5.6,8.7,377.113006754708,98.4108984129465,290.39519627898,161.0,1538.0737621139099,754.387463333618
2013-04-01,195.46368385488304,7.6,5.2,8.6,375.93929990043296,98.8374662711982,290.580641643452,30.0,976.734585885788,686.066766851383
2013-05-01,197.055897864745,7.5,5.5,8.6,375.219666878007,98.97342257230422,290.983081555456,70.0,1560.9418116453198,803.9773189411591
2013-06-01,197.491591066983,7.5,6.0,8.6,373.412761173433,99.17651889655741,291.699833099964,617.0,1510.36508608463,781.4430149624692
2013-07-01,199.219269363835,7.3,5.8,8.5,371.149259253871,99.24326435222393,292.85931156186,19.0,1800.6333318990698,794.6504588294749
2013-08-01,200.63589755973598,7.2,5.6,8.5,371.31096065006204,99.4042379031954,292.70709489331904,656.0,1516.70189448513,851.559182321237
2013-09-01,202.50441822567902,7.2,5.5,8.4,371.228855472155,99.2409581107511,293.520224707678,214.0,1127.8828469424302,787.3860820751828
2013-10-01,203.42075414153703,7.2,5.8,8.3,370.281692972272,99.25834163612421,291.726346553911,240.0,973.095494993354,821.7873370960381
2013-11-01,204.39146078216305,6.9,5.2,8.2,370.052040362076,99.2347767134678,293.889139030301,866.0,2052.7857664592498,744.338958556224
2013-12-01,205.904630700851,6.7,5.0,8.1,369.87575020998594,99.1165729918655,294.396702919192,427.0,1933.73795595702,935.508751252058
2014-01-01,206.971311875593,6.6,5.4,8.0,362.738671824451,98.77254020125471,295.070396583961,34.0,1358.75146769875,896.0813474196581
2014-02-01,207.552212592282,6.7,5.5,8.0,362.286668383725,98.3780292720756,294.65081303642995,61.0,1702.67077618246,1082.60684979368
2014-03-01,209.13758781333095,6.7,5.3,7.9,362.186901579699,98.42626411571301,295.713334310147,165.0,1246.70341680933,712.381572854135
2014-04-01,208.26708481456902,6.2,4.7,7.9,361.695009756196,97.5863392807358,297.384576188204,35.0,1465.38724523719,702.192537413641
2014-05-01,207.90540347543202,6.3,5.1,7.8,361.855471235119,97.920858834541,298.54670356810396,612.0,2228.29608655513,1056.08658490252
2014-06-01,207.551922808992,6.1,5.3,7.8,360.987731937621,98.08063222671619,299.034122504602,349.0,1688.1474584540301,924.680009293622
2014-07-01,206.954132600085,6.2,5.4,7.7,362.183667696222,98.10848956440901,298.668317697428,399.0,1620.8943217495,879.886174781239
2014-08-01,206.89250214106,6.1,5.3,7.7,363.06420039344704,98.21799152294341,299.052866962099,512.0,1975.93143234403,1022.2653054314999
2014-09-01,206.965128756768,5.9,5.0,7.7,363.319193902167,98.54268193122248,299.741733022198,391.0,1515.3690312643,973.7489726521768
2014-10-01,207.78914492656003,5.7,4.8,7.6,363.838034794889,98.2631934331066,300.298386233574,404.0,1482.15139083124,969.9972225474968
2014-11-01,208.003614570493,5.8,4.7,7.6,364.158399473897,98.56051659802591,301.358777447462,626.0,3044.3475255764697,1078.0517724681301
2014-12-01,208.54207775114799,5.6,4.5,7.5,363.963133618674,98.4678970214736,301.242437397424,532.0,2533.99837072197,1088.79502088609
2015-01-01,208.728777926521,5.7,5.0,7.4,363.57227850051004,99.461731799223,305.656459232067,55.0,1358.96712055572,1106.73769617214
2015-02-01,209.449097291614,5.5,4.9,7.3,363.8622076118831,99.5424805212738,305.271837136249,236.0,1823.0456759854694,1320.12237746399
2015-03-01,209.778962821916,5.4,4.7,7.2,363.848115192605,99.7527061561557,304.612195462113,44.0,1552.30499323297,1268.07411922625
2015-04-01,209.728871103775,5.4,4.2,7.1,364.713523307875,98.96578062550199,306.360117086031,53.0,2240.07962160129,1329.61208516038
2015-05-01,209.30705277902698,5.6,4.5,7.0,364.488312364466,99.23437812203709,307.924154137266,680.0,2456.89717062072,1257.19841477345
2015-06-01,209.731699545281,5.3,4.7,6.9,363.772070050791,99.1438392158135,309.549284768068,142.0,1700.80308682477,932.80303093343
2015-07-01,209.80034909012696,5.2,4.6,6.8,364.848315067708,99.3463198532086,312.041374985941,556.0,1735.22049442418,1309.28611346235
2015-08-01,210.039685414021,5.1,4.4,6.7,365.05066616154505,99.3290686820113,313.104253587072,48.0,1173.3134806196902,1057.24924989491
2015-09-01,210.205569390841,5.0,4.2,6.6,365.148698429255,99.32045764191808,313.11916899926103,478.0,2440.55410994303,1094.7753955271698
2015-10-01,210.44346932451802,5.0,4.2,6.6,364.87689435952797,99.5564331998378,313.604424850041,907.0,2481.20215519107,1297.4121966009698
2015-11-01,211.318105091718,5.1,4.0,6.5,365.15062350269096,99.61821438118591,314.285632240793,22.0,1557.0414487813598,1195.7259997519802
2015-12-01,211.360115497816,5.0,3.8,6.5,365.721437060603,99.56687395219772,316.93873971501597,34.0,1733.9902250382502,1008.9723212014501
2016-01-01,212.151749496581,4.9,4.1,6.4,366.18398053091903,99.6588345029781,315.753002337118,300.0,1958.5903185805605,1076.30225937651
2016-02-01,211.52535105802897,4.9,4.1,6.3,366.428151586052,99.722621787944,315.92954403707597,849.0,4055.9424748627002,1060.44083192538
2016-03-01,211.71855149693695,5.0,4.0,6.2,366.560271743104,99.910172030237,317.347352511362,68.0,1556.91351557669,1056.8188586633198
2016-04-01,212.467071117891,5.0,3.5,6.1,366.62822829126,100.241532174496,319.488280607876,95.0,1694.2492593518805,1076.32431998384
2016-05-01,213.02955878683997,4.8,3.7,6.1,367.46179895676005,100.29470684611799,318.364448327335,41.0,1432.35221912865,1147.78463860593
2016-06-01,213.168899191329,4.9,4.1,6.1,368.014958219247,100.18485063726,319.209635880751,55.0,1810.84690145237,1036.3521235231199
2016-07-01,213.139779042589,4.8,4.1,6.0,368.372028412285,100.665248415462,319.982976636848,922.0,2474.58870613262,1060.80913830827
2016-08-01,213.63190764429905,4.9,4.1,6.0,368.798675834333,101.04292152995501,320.945050079471,779.0,2094.37517532165,1139.51960351436
2016-09-01,214.375138011898,5.0,4.0,6.0,369.094418357363,101.196579260581,322.682646870747,394.0,2098.54725874792,1160.71371736976
2016-10-01,215.10844032974603,4.9,4.0,6.0,369.303429981784,101.425756554204,321.126215381712,506.0,2214.03360577823,1067.28639992022
2016-11-01,215.743632025631,4.7,3.7,6.0,369.77242471394203,101.700829890933,324.73734895774396,51.0,1395.49789819763,1070.8246296187301
2016-12-01,217.05885981207402,4.7,3.6,6.0,370.3877286909111,102.186407311285,324.689915326433,129.0,1459.9585708429902,946.104824128867
2017-01-01,218.33477054781798,4.7,4.1,6.0,371.20495295748594,102.17158265529498,324.395024754635,22.0,2239.88184008342,1027.49273016563
2017-02-01,219.11711861401199,4.6,4.0,6.1,370.089747040728,102.43930052222,326.234978231951,344.0,1410.8881207441,799.094375874961
2017-03-01,219.047273394379,4.4,3.8,6.1,369.819028002146,102.580413480583,327.369265771228,402.0,1836.9438783284304,944.6777263389032
2017-04-01,218.67271173507302,4.4,3.4,6.2,368.017423831657,102.382325229182,327.56491892422997,244.0,2772.87836762525,1033.61565547282
2017-05-01,218.948169148929,4.4,3.7,6.2,369.21810049371805,102.73959236803101,329.132805301563,649.0,1609.9924381853302,947.8715475015421
2017-06-01,219.376126476459,4.3,4.0,6.2,368.251993090472,102.79977790309,328.729035632933,789.0,2313.2611864404607,1167.00412679544
