DATE,WASH911LEIH
2010-01-01,258.066619648003
2010-02-01,254.22722196069
2010-03-01,258.398700610235
2010-04-01,262.204679238931
2010-05-01,259.99540379312697
2010-06-01,261.04322866981096
2010-07-01,260.842832075103
2010-08-01,261.494020747784
2010-09-01,263.20390814447603
2010-10-01,264.379884513052
2010-11-01,265.23504481500197
2010-12-01,266.397773063376
2011-01-01,265.921518924219
2011-02-01,266.605317284568
2011-03-01,268.242950470062
2011-04-01,270.306451386745
2011-05-01,268.137658708216
2011-06-01,268.655980030409
2011-07-01,269.395378661902
2011-08-01,271.613794358022
2011-09-01,272.071071294295
2011-10-01,273.36997694433603
2011-11-01,274.962156174375
2011-12-01,275.34362990473596
2012-01-01,276.56959690510604
2012-02-01,278.262052755566
2012-03-01,280.260234401292
2012-04-01,279.953109358194
2012-05-01,280.584734902318
2012-06-01,281.443894262641
2012-07-01,281.960067134151
2012-08-01,283.358522270553
2012-09-01,283.89282725598304
2012-10-01,284.54884574882703
2012-11-01,285.227539940686
2012-12-01,286.47204773267
2013-01-01,289.34904934963697
2013-02-01,289.831902148969
2013-03-01,290.39519627898
2013-04-01,290.580641643452
2013-05-01,290.983081555456
2013-06-01,291.699833099964
2013-07-01,292.85931156186
2013-08-01,292.70709489331904
2013-09-01,293.520224707678
2013-10-01,291.726346553911
2013-11-01,293.889139030301
2013-12-01,294.396702919192
2014-01-01,295.070396583961
2014-02-01,294.65081303643
2014-03-01,295.713334310147
2014-04-01,297.384576188204
2014-05-01,298.54670356810396
2014-06-01,299.034122504602
2014-07-01,298.668317697428
2014-08-01,299.052866962099
2014-09-01,299.741733022198
2014-10-01,300.298386233574
2014-11-01,301.358777447462
2014-12-01,301.242437397424
2015-01-01,305.656459232067
2015-02-01,305.271837136249
2015-03-01,304.612195462113
2015-04-01,306.360117086031
2015-05-01,307.924154137266
2015-06-01,309.549284768068
2015-07-01,312.041374985941
2015-08-01,313.104253587072
2015-09-01,313.11916899926103
2015-10-01,313.604424850041
2015-11-01,314.285632240793
2015-12-01,316.93873971501597
2016-01-01,315.753002337118
2016-02-01,315.92954403707597
2016-03-01,317.347352511362
2016-04-01,319.488280607876
2016-05-01,318.364448327335
2016-06-01,319.209635880751
2016-07-01,319.982976636848
2016-08-01,320.945050079471
2016-09-01,322.682646870747
2016-10-01,321.126215381712
2016-11-01,324.73734895774396
2016-12-01,324.689915326433
2017-01-01,324.395024754635
2017-02-01,326.234978231951
2017-03-01,327.369265771228
2017-04-01,327.56491892423
2017-05-01,329.132805301563
2017-06-01,328.729035632933
2017-07-01,329.008543474771
2017-08-01,329.97245558448896
2017-09-01,329.790839553561
2017-10-01,331.452135616369
2017-11-01,331.161960053626
2017-12-01,331.149457695689
2018-01-01,330.787686358627
2018-02-01,331.054959066033
2018-03-01,331.79622144693
2018-04-01,332.15962749465
2018-05-01,333.677441371547
2018-06-01,334.840660120128
2018-07-01,335.391903693163
2018-08-01,334.966921266382
2018-09-01,333.443138488494
2018-10-01,336.323967829674
2018-11-01,336.572766245451
2018-12-01,339.258554071038
2019-01-01,342.621918638765
2019-02-01,344.07611584312696
2019-03-01,346.525834946736
2019-04-01,346.40936432723504
2019-05-01,345.52067524596197
2019-06-01,347.332822334955
2019-07-01,347.357406453363
2019-08-01,350.489560398316
2019-09-01,352.846319923847
2019-10-01,355.226650529812
2019-11-01,356.997404602894
